"ligne";"Code";" Intitulés de la  NAF rév. 2, version finale ";"Intitulés NAF rév. 2, 
en 65 caractères";"Intitulés NAF rév. 2, 
en 40 caractères"
991;"42.11Z";"Construction de routes et autoroutes";"Construction de routes et autoroutes";"Construction de routes et autoroutes"
992;"42.12";"Construction de voies ferrées de surface et souterraines";"Construction de voies ferrées de surface et souterraines";"Const. voie ferrée surface & souterraine"
993;"42.12Z";"Construction de voies ferrées de surface et souterraines";"Construction de voies ferrées de surface et souterraines";"Const. voie ferrée surface & souterraine"
994;"42.13";"Construction de ponts et tunnels";"Construction de ponts et tunnels";"Construction de ponts et tunnels"
995;"42.13A";"Construction d'ouvrages d'art";"Construction d'ouvrages d'art";"Construction d'ouvrages d'art"
996;"42.13B";"Construction et entretien de tunnels";"Construction et entretien de tunnels";"Construction et entretien de tunnels"
997;;;;
998;"42.2";"Construction de réseaux et de lignes";"Construction de réseaux et de lignes";"Construction de réseaux et de lignes"
999;"42.21";"Construction de réseaux pour fluides";"Construction de réseaux pour fluides";"Construction de réseaux pour fluides"
1000;"42.21Z";"Construction de réseaux pour fluides";"Construction de réseaux pour fluides";"Construction de réseaux pour fluides"
1001;"42.22";"Construction de réseaux électriques et de télécommunications";"Construction de réseaux électriques et de télécommunications";"Const. réseaux électriq. & de télécom."
1002;"42.22Z";"Construction de réseaux électriques et de télécommunications";"Construction de réseaux électriques et de télécommunications";"Const. réseaux électriq. & de télécom."
1003;;;;
1004;"42.9";"Construction d'autres ouvrages de génie civil ";"Construction d'autres ouvrages de génie civil";"Construc. autres ouvrages de génie civil"
1005;"42.91";"Construction d'ouvrages maritimes et fluviaux";"Construction d'ouvrages maritimes et fluviaux";"Construc. ouvrages maritimes et fluviaux"
1006;"42.91Z";"Construction d'ouvrages maritimes et fluviaux";"Construction d'ouvrages maritimes et fluviaux";"Construc. ouvrages maritimes et fluviaux"
1007;"42.99";"Construction d'autres ouvrages de génie civil n.c.a.";"Construction d'autres ouvrages de génie civil n.c.a.";"Constr. aut. ouvrage de génie civil nca."
1008;"42.99Z";"Construction d'autres ouvrages de génie civil n.c.a.";"Construction d'autres ouvrages de génie civil n.c.a.";"Constr. aut. ouvrage de génie civil nca."
1009;;;;
1010;"43";"Travaux de construction spécialisés ";"Travaux de construction spécialisés";"Travaux de construction spécialisés"
1011;;;;
1012;"43.1";"Démolition et préparation des sites";"Démolition et préparation des sites";"Démolition et préparation des sites"
1013;"43.11";"Travaux de démolition";"Travaux de démolition";"Travaux de démolition"
1014;"43.11Z";"Travaux de démolition";"Travaux de démolition";"Travaux de démolition"
1015;"43.12";"Travaux de préparation des sites";"Travaux de préparation des sites";"Travaux de préparation des sites"
1016;"43.12A";"Travaux de terrassement courants et travaux préparatoires";"Travaux de terrassement courants et travaux préparatoires";"Travaux de terrassement courants"
1017;"43.12B";"Travaux de terrassement spécialisés ou de grande masse";"Travaux de terrassement spécialisés ou de grande masse";"Travaux de terrassement spécialisés"
1018;"43.13";"Forages et sondages";"Forages et sondages";"Forages et sondages"
1019;"43.13Z";"Forages et sondages";"Forages et sondages";"Forages et sondages"
1020;;;;
1021;"43.2";"Travaux d'installation électrique, plomberie et autres travaux d'installation";"Travaux install. électrique plomberie & autres travaux d'install.";"Travaux install. élect. plomberie & aut."
1022;"43.21";"Installation électrique";"Installation électrique";"Installation électrique"
1023;"43.21A";"Travaux d'installation électrique dans tous locaux";"Travaux d'installation électrique dans tous locaux";"Travaux instal. électriq. ds tous locaux"
1024;"43.21B";"Travaux d'installation électrique sur la voie publique";"Travaux d'installation électrique sur la voie publique";"Travaux instal. électriq. sr voie publi."
1025;"43.22";"Travaux de plomberie et installation de chauffage et de conditionnement d'air";"Travaux plomberie, install. chauffage & conditionnement d'air";"Trav. plomberie chauffage & condit. air"
1026;"43.22A";"Travaux d'installation d'eau et de gaz en tous locaux";"Travaux d'installation d'eau et de gaz en tous locaux";"Travaux instal. eau & gaz en tous locaux"
1027;"43.22B";"Travaux d'installation d'équipements thermiques et de climatisation";"Travaux d'installation équipements thermiques et climatisation";"Travaux instal. équipt thermique & clim."
1028;"43.29";"Autres travaux d'installation";"Autres travaux d'installation";"Autres travaux d'installation"
1029;"43.29A";"Travaux d'isolation";"Travaux d'isolation";"Travaux d'isolation"
1030;"43.29B";"Autres travaux d'installation n.c.a.";"Autres travaux d'installation n.c.a.";"Autres travaux d'installation n.c.a."
1031;;;;
1032;"43.3";"Travaux de finition";"Travaux de finition";"Travaux de finition"
1033;"43.31";"Travaux de plâtrerie";"Travaux de plâtrerie";"Travaux de plâtrerie"
1034;"43.31Z";"Travaux de plâtrerie";"Travaux de plâtrerie";"Travaux de plâtrerie"
1035;"43.32";"Travaux de menuiserie";"Travaux de menuiserie";"Travaux de menuiserie"
1036;"43.32A";"Travaux de menuiserie bois et PVC";"Travaux de menuiserie bois et PVC";"Travaux de menuiserie bois et PVC"
1037;"43.32B";"Travaux de menuiserie métallique et serrurerie";"Travaux de menuiserie métallique et serrurerie";"Travaux menuiserie métal. & serrurerie"
1038;"43.32C";"Agencement de lieux de vente";"Agencement de lieux de vente";"Agencement de lieux de vente"
1039;"43.33";"Travaux de revêtement des sols et des murs";"Travaux de revêtement des sols et des murs";"Travaux revêtement des sols et des murs"
1040;"43.33Z";"Travaux de revêtement des sols et des murs";"Travaux de revêtement des sols et des murs";"Travaux revêtement des sols et des murs"
1041;"43.34";"Travaux de peinture et vitrerie";"Travaux de peinture et vitrerie";"Travaux de peinture et vitrerie"
1042;"43.34Z";"Travaux de peinture et vitrerie";"Travaux de peinture et vitrerie";"Travaux de peinture et vitrerie"
1043;"43.39";"Autres travaux de finition";"Autres travaux de finition";"Autres travaux de finition"
1044;"43.39Z";"Autres travaux de finition";"Autres travaux de finition";"Autres travaux de finition"
1045;;;;
1046;"43.9";"Autres travaux de construction spécialisés";"Autres travaux de construction spécialisés";"Autres travaux construction spécialisés"
1047;"43.91";"Travaux de couverture";"Travaux de couverture";"Travaux de couverture"
1048;"43.91A";"Travaux de charpente";"Travaux de charpente";"Travaux de charpente"
1049;"43.91B";"Travaux de couverture par éléments";"Travaux de couverture par éléments";"Travaux de couverture par éléments"
1050;"43.99";"Autres travaux de construction spécialisés n.c.a.";"Autres travaux de construction spécialisés n.c.a.";"Aut. travaux construc. spécialisés nca."
1051;"43.99A";"Travaux d'étanchéification";"Travaux d'étanchéification";"Travaux d'étanchéification"
1052;"43.99B";"Travaux de montage de structures métalliques";"Travaux de montage de structures métalliques";"Travaux montage de structure métallique"
1053;"43.99C";"Travaux de maçonnerie générale et gros œuvre de bâtiment";"Travaux de maçonnerie générale et gros oeuvre de bâtiment";"Trav. maçon. gle & gros oeuvre bâtiment"
1054;"43.99D";"Autres travaux spécialisés de construction";"Autres travaux spécialisés de construction";"Aut. travaux spécialisés de construction"
1055;"43.99E";"Location avec opérateur de matériel de construction";"Location avec opérateur de matériel de construction";"Location avec opérateur mat. de constr."
1056;;;;
1057;"SECTION G";"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";"COMMERCE ; RÉPAR. AUTOMOBILE & MOTOCYCLE"
1058;;;;
1059;"45";"Commerce et réparation d'automobiles et de motocycles";"Commerce et réparation d'automobiles et de motocycles";"Commerce & répar. automobile & motocycle"
1060;;;;
1061;"45.1";"Commerce de véhicules automobiles";"Commerce de véhicules automobiles";"Commerce de véhicules automobiles"
1062;"45.11";"Commerce de voitures et de véhicules automobiles légers";"Commerce de voitures et de véhicules automobiles légers";"Comm. de voiture & véhicule auto. léger"
1063;"45.11Z";"Commerce de voitures et de véhicules automobiles légers";"Commerce de voitures et de véhicules automobiles légers";"Comm. de voiture & véhicule auto. léger"
1064;"45.19";"Commerce d'autres véhicules automobiles";"Commerce d'autres véhicules automobiles";"Commerce d'autres véhicules automobiles"
1065;"45.19Z";"Commerce d'autres véhicules automobiles";"Commerce d'autres véhicules automobiles";"Commerce d'autres véhicules automobiles"
1066;;;;
1067;"45.2";"Entretien et réparation de véhicules automobiles";"Entretien et réparation de véhicules automobiles";"Entretien & répar. de véhicule auto."
1068;"45.20";"Entretien et réparation de véhicules automobiles";"Entretien et réparation de véhicules automobiles";"Entretien & répar. de véhicule auto."
1069;"45.20A";"Entretien et réparation de véhicules automobiles légers";"Entretien et réparation de véhicules automobiles légers";"Entretien & répar. véhicule auto. léger"
1070;"45.20B";"Entretien et réparation d'autres véhicules automobiles";"Entretien et réparation d'autres véhicules automobiles";"Entretien & répar. autre véhicule auto."
1071;;;;
1072;"45.3";"Commerce d'équipements automobiles";"Commerce d'équipements automobiles";"Commerce d'équipements automobiles"
1073;"45.31";"Commerce de gros d'équipements automobiles";"Commerce de gros d'équipements automobiles";"Commerce de gros d'équipement automobile"
1074;"45.31Z";"Commerce de gros d'équipements automobiles";"Commerce de gros d'équipements automobiles";"Commerce de gros d'équipement automobile"
1075;"45.32";"Commerce de détail d'équipements automobiles";"Commerce de détail d'équipements automobiles";"Commerce de détail équipement automobile"
1076;"45.32Z";"Commerce de détail d'équipements automobiles";"Commerce de détail d'équipements automobiles";"Commerce de détail équipement automobile"
1077;;;;
1078;"45.4";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles"
1079;"45.40";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles"
1080;"45.40Z";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles";"Commerce et réparation de motocycles"
1081;;;;
1082;"46";"Commerce de gros, à l’exception des automobiles et des motocycles";"Commerce de gros, à l’exception des automobiles et des motocycles";"Commerce gros hors auto. & motocycle"
1083;;;;
1084;"46.1";"Intermédiaires du commerce de gros";"Intermédiaires du commerce de gros";"Intermédiaires du commerce de gros"
1085;"46.11";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis";"Interm. du comm. en m.p. agricoles & textiles, animaux vivants";"Interm. du comm. en produits agricoles"
1086;"46.11Z";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis";"Interm. du comm. en m.p. agricoles & textiles, animaux vivants";"Interm. du comm. en produits agricoles"
1087;"46.12";"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques";"Interm. comm. combustibles métaux minéraux & produits chimiques";"Int. comm. comb. mét. minér. & pd. chim."
1088;"46.12A";"Centrales d'achat de carburant";"Centrales d'achat de carburant";"Centrales d'achat de carburant"
1089;"46.12B";"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques";"Autres interm. comm. combustibles métaux minéraux prod. chimiques";"Aut. ic comb. mét. minér. & prod. chim."
1090;"46.13";"Intermédiaires du commerce en bois et matériaux de construction";"Intermédiaires du commerce en bois et matériaux de construction";"Interm. comm. bois & matériaux construc."
1091;"46.13Z";"Intermédiaires du commerce en bois et matériaux de construction";"Intermédiaires du commerce en bois et matériaux de construction";"Interm. comm. bois & matériaux construc."
1092;"46.14";"Intermédiaires du commerce en machines, équipements industriels, navires et avions";"Interm. comm. machines, équipts industriels, navires et avions";"Int. comm. équipt indus., navire & avion"
1093;"46.14Z";"Intermédiaires du commerce en machines, équipements industriels, navires et avions";"Interm. comm. machines, équipts industriels, navires et avions";"Int. comm. équipt indus., navire & avion"
1094;"46.15";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie";"Interm. comm. en meubles, articles de ménage et quincaillerie";"Int. comm. meuble, art. ménage & quinc."
1095;"46.15Z";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie";"Interm. comm. en meubles, articles de ménage et quincaillerie";"Int. comm. meuble, art. ménage & quinc."
1096;"46.16";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir";"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir";"Int. comm. textile, habillt & assimil."
1097;"46.16Z";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir";"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir";"Int. comm. textile, habillt & assimil."
1098;"46.17";"Intermédiaires du commerce en denrées, boissons et tabac";"Intermédiaires du commerce en denrées, boissons et tabac";"Int. comm. en denrées, boissons & tabac"
1099;"46.17A";"Centrales d'achat alimentaires";"Centrales d'achat alimentaires";"Centrales d'achat alimentaires"
1100;"46.17B";"Autres intermédiaires du commerce en denrées, boissons et tabac";"Autres intermédiaires du commerce en denrées, boissons et tabac";"Autre ic en denrées, boissons et tabac"
1101;"46.18";"Intermédiaires spécialisés dans le commerce d'autres produits spécifiques";"Interm. spécialisés commerce d'autres produits spécifiques";"Int. spécialis. comm. aut. prod. spécif."
1102;"46.18Z";"Intermédiaires spécialisés dans le commerce d'autres produits spécifiques";"Interm. spécialisés commerce d'autres produits spécifiques";"Int. spécialis. comm. aut. prod. spécif."
1103;"46.19";"Intermédiaires du commerce en produits divers";"Intermédiaires du commerce en produits divers";"Interm. du commerce en produits divers"
1104;"46.19A";"Centrales d'achat non alimentaires";"Centrales d'achat non alimentaires";"Centrales d'achat non alimentaires"
1105;"46.19B";"Autres intermédiaires du commerce en produits divers";"Autres intermédiaires du commerce en produits divers";"Autre interm. commerce en prodts divers"
1106;;;;
1107;"46.2";"Commerce de gros de produits agricoles bruts et d'animaux vivants";"Commerce de gros de produits agricoles bruts et d'animaux vivants";"Com. gros prod. agric. brut & anim. viv."
1108;"46.21";"Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ";"Comm. de gros céréales, tabac non manuf. et aliments pour bétail";"Com gros céréal. tab. brt & alim. bétail"
1109;"46.21Z";"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ";"Comm. de gros céréales, tabac non manuf. et aliments pour bétail";"Com gros céréal. tab. brt & alim. bétail"
1110;"46.22";"Commerce de gros de fleurs et plantes";"Commerce de gros de fleurs et plantes";"Commerce de gros de fleurs et plantes"
1111;"46.22Z";"Commerce de gros (commerce interentreprises) de fleurs et plantes";"Commerce de gros (commerce interentreprises) de fleurs et plantes";"Commerce de gros de fleurs et plantes"
1112;"46.23";"Commerce de gros d'animaux vivants";"Commerce de gros d'animaux vivants";"Commerce de gros d'animaux vivants"
1113;"46.23Z";"Commerce de gros (commerce interentreprises) d'animaux vivants";"Commerce de gros (commerce interentreprises) d'animaux vivants";"Commerce de gros d'animaux vivants"
1114;"46.24";"Commerce de gros de cuirs et peaux";"Commerce de gros de cuirs et peaux";"Commerce de gros de cuirs et peaux"
1115;"46.24Z";"Commerce de gros (commerce interentreprises) de cuirs et peaux";"Commerce de gros (commerce interentreprises) de cuirs et peaux";"Commerce de gros de cuirs et peaux"
1116;;;;
1117;"46.3";"Commerce de gros de produits alimentaires, de boissons et de tabac";"Comm. gros produits alimentaires boissons & tabac";"Comm. gros prod. alim. boisson & tabac"
1118;"46.31";"Commerce de gros de fruits et légumes";"Commerce de gros de fruits et légumes";"Commerce de gros de fruits et légumes"
1119;"46.31Z";"Commerce de gros (commerce interentreprises) de fruits et légumes";"Commerce de gros (commerce interentreprises) de fruits et légumes";"Commerce de gros de fruits et légumes"
1120;"46.32";"Commerce de gros de viandes et de produits à base de viande";"Commerce de gros de viandes et de produits à base de viande";"Comm. gros viande & prod. à base  viande"
1121;"46.32A";"Commerce de gros (commerce interentreprises) de viandes de boucherie";"Commerce de gros de viandes de boucherie";"Commerce de gros de viandes de boucherie"
1122;"46.32B";"Commerce de gros (commerce interentreprises) de produits à base de viande";"Commerce de gros de produits à base de viande";"Comm. gros de produits à base de viande"
1123;"46.32C";"Commerce de gros (commerce interentreprises) de volailles et gibier";"Commerce de gros de volailles et gibier";"Commerce de gros de volailles et gibier"
1124;"46.33";"Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles";"Com. gros produits laitiers, oeufs, huiles & mat. grasses comest.";"Com. gros prod. laitier oeuf & mat. grse"
1125;"46.33Z";"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles";"Com. gros produits laitiers, oeufs, huiles & mat. grasses comest.";"Com. gros prod. laitier oeuf & mat. grse"
1126;"46.34";"Commerce de gros de boissons";"Commerce de gros de boissons";"Commerce de gros de boissons"
1127;"46.34Z";"Commerce de gros (commerce interentreprises) de boissons";"Commerce de gros (commerce interentreprises) de boissons";"Commerce de gros  de boissons"
1128;"46.35";"Commerce de gros de produits à base de tabac";"Commerce de gros de produits à base de tabac";"Comm. gros de produits à base de tabac"
1129;"46.35Z";"Commerce de gros (commerce interentreprises) de produits à base de tabac";"Commerce de gros de produits à base de tabac";"Comm. gros de produits à base de tabac"
1130;"46.36";"Commerce de gros de sucre, chocolat et confiserie";"Commerce de gros de sucre, chocolat et confiserie";"Com. gros de sucre chocolat & confiserie"
1131;"46.36Z";"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie";"Commerce de gros de sucre, chocolat et confiserie";"Com. gros de sucre chocolat & confiserie"
1132;"46.37";"Commerce de gros de café, thé, cacao et épices";"Commerce de gros de café, thé, cacao et épices";"Comm. gros de café, thé, cacao et épices"
1133;"46.37Z";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices";"Commerce de gros de café, thé, cacao et épices";"Comm. gros de café, thé, cacao et épices"
1134;"46.38";"Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques";"Comm. gros autres prod. alim. yc poissons crustacés mollusques";"Com. gros aut. alim. yc poisson crustacé"
1135;"46.38A";"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques";"Commerce de gros de poissons, crustacés et mollusques";"Com. gros aut. alim. yc poisson crustacé"
1136;"46.38B";"Commerce de gros (commerce interentreprises) alimentaire spécialisé divers";"Commerce de gros alimentaire spécialisé divers";"Comm. gros alimentaire spécialisé divers"
1137;"46.39";"Commerce de gros non spécialisé de denrées, boissons et tabac";"Commerce de gros non spécialisé de denrées, boissons et tabac";"Com. gros non spéc. denrée boisson tabac"
1138;"46.39A";"Commerce de gros (commerce interentreprises) de produits surgelés";"Commerce de gros (commerce interentreprises) de produits surgelés";"Commerce de gros de produits surgelés"
1139;"46.39B";"Commerce de gros (commerce interentreprises) alimentaire non spécialisé";"Commerce de gros alimentaire non spécialisé";"Comm de gros alimentaire non spécialisé"
1140;;;;
1141;"46.4";"Commerce de gros de biens domestiques";"Commerce de gros de biens domestiques";"Commerce de gros de biens domestiques"
1142;"46.41";"Commerce de gros de textiles";"Commerce de gros de textiles";"Commerce de gros de textiles"
1143;"46.41Z";"Commerce de gros (commerce interentreprises) de textiles";"Commerce de gros (commerce interentreprises) de textiles";"Commerce de gros de textiles"
1144;"46.42";"Commerce de gros d'habillement et de chaussures";"Commerce de gros d'habillement et de chaussures";"Commerce gros d'habillement & chaussures"
1145;"46.42Z";"Commerce de gros (commerce interentreprises) d'habillement et de chaussures";"Commerce de gros d'habillement et de chaussures";"Commerce gros d'habillement & chaussures"
1146;"46.43";"Commerce de gros d'appareils électroménagers";"Commerce de gros d'appareils électroménagers";"Commerce de gros appareil électroménager"
1147;"46.43Z";"Commerce de gros (commerce interentreprises) d'appareils électroménagers";"Commerce de gros d'appareils électroménagers";"Commerce de gros appareil électroménager"
1148;"46.44";"Commerce de gros de vaisselle, verrerie et produits d'entretien";"Commerce de gros de vaisselle, verrerie et produits d'entretien";"Com. gros vaisselle verrerie prod. entr."
1149;"46.44Z";"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien";"Commerce de gros de vaisselle, verrerie et produits d'entretien";"Com. gros vaisselle verrerie prod. entr."
1150;"46.45";"Commerce de gros de parfumerie et de produits de beauté";"Commerce de gros de parfumerie et de produits de beauté";"Com. gros parfumerie & produit de beauté"
1151;"46.45Z";"Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté";"Commerce de gros de parfumerie et de produits de beauté";"Com. gros parfumerie & produit de beauté"
1152;"46.46";"Commerce de gros de produits pharmaceutiques";"Commerce de gros de produits pharmaceutiques";"Comm. gros de produits pharmaceutiques"
1153;"46.46Z";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques";"Commerce de gros de produits pharmaceutiques";"Comm. gros de produits pharmaceutiques"
1154;"46.47";"Commerce de gros de meubles, de tapis et d'appareils d'éclairage ";"Commerce de gros de meubles, de tapis et d'appareils d'éclairage";"Com. gros meuble tapis appareil éclaira."
1155;"46.47Z";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage ";"Commerce de gros de meubles, de tapis et d'appareils d'éclairage";"Com. gros meuble tapis appareil éclaira."
1156;"46.48";"Commerce de gros d'articles d'horlogerie et de bijouterie";"Commerce de gros d'articles d'horlogerie et de bijouterie";"Com. gros artic. horlogerie & bijouterie"
1157;"46.48Z";"Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie";"Commerce de gros d'articles d'horlogerie et de bijouterie";"Com. gros artic. horlogerie & bijouterie"
1158;"46.49";"Commerce de gros d'autres biens domestiques";"Commerce de gros d'autres biens domestiques";"Commerce gros d'autres biens domestiques"
1159;"46.49Z";"Commerce de gros (commerce interentreprises) d'autres biens domestiques ";"Commerce de gros d'autres biens domestiques";"Commerce gros d'autres biens domestiques"
1160;;;;
1161;"46.5";"Commerce de gros d'équipements de l'information et de la communication ";"Comm. gros équipts de l'information et de la communication";"Comm. gros équipt. information & com."
1162;"46.51";"Commerce de gros d'ordinateurs, d'équipements informatiques périphériques et de logiciels";"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels";"Comm. gros ordi. éqpt périph. & logiciel"
1163;"46.51Z";"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels";"Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels";"Comm. gros ordi. éqpt périph. & logiciel"
1164;"46.52";"Commerce de gros de composants et d'équipements électroniques et de télécommunication";"Comm. de gros d'éqpts et composants électroniques et de télécomm.";"Cg éqpt & composant électron. & télécom."
1165;"46.52Z";"Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication";"Comm. de gros d'éqpts et composants électroniques et de télécomm.";"Cg éqpt & composant électron. & télécom."
1166;;;;
1167;"46.6";"Commerce de gros d'autres équipements industriels";"Commerce de gros d'autres équipements industriels";"Commerce de gros autres équipts indust."
1168;"46.61";"Commerce de gros de matériel agricole";"Commerce de gros de matériel agricole";"Commerce de gros de matériel agricole"
1169;"46.61Z";"Commerce de gros (commerce interentreprises) de matériel agricole";"Commerce de gros (commerce interentreprises) de matériel agricole";"Commerce de gros de matériel agricole"
1170;"46.62";"Commerce de gros de machines-outils";"Commerce de gros de machines-outils";"Commerce de gros de machines-outils"
1171;"46.62Z";"Commerce de gros (commerce interentreprises) de machines-outils";"Commerce de gros (commerce interentreprises) de machines-outils";"Commerce de gros de machines-outils"
1172;"46.63";"Commerce de gros de machines pour l'extraction, la construction et le génie civil ";"Comm de gros de machines pour l'extrac, la constr, le génie civil";"Com. gros machine pr extrac., constr. GC"
1173;"46.63Z";"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil ";"Comm de gros de machines pour l'extrac, la constr, le génie civil";"Com. gros machine pr extrac., constr. GC"
1174;"46.64";"Commerce de gros de machines pour l'industrie textile et l'habillement";"Comm. gros (interentr.) machines pour industrie textile & habill.";"Com. gros machine pr ind. text. & habil."
1175;"46.64Z";"Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement";"Comm. gros (interentr.) machines pour industrie textile & habill.";"Com. gros machine pr ind. text. & habil."
1176;"46.65";"Commerce de gros de mobilier de bureau";"Commerce de gros de mobilier de bureau";"Commerce de gros de mobilier de bureau"
1177;"46.65Z";"Commerce de gros (commerce interentreprises) de mobilier de bureau";"Commerce de gros de mobilier de bureau";"Commerce de gros de mobilier de bureau"
1178;"46.66";"Commerce de gros d'autres machines et équipements de bureau ";"Commerce de gros d'autres machines et équipements de bureau";"Com. gros autre machine & équipt bureau"
1179;"46.66Z";"Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau ";"Commerce de gros d'autres machines et équipements de bureau";"Com. gros autre machine & équipt bureau"
1180;"46.69";"Commerce de gros d'autres machines et équipements";"Commerce de gros d'autres machines et équipements";"Commerce de gros autre machine & équipt"
1181;"46.69A";"Commerce de gros (commerce interentreprises) de matériel électrique";"Commerce de gros de matériel électrique";"Commerce de gros de matériel électrique"
1182;"46.69B";"Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers";"Commerce de gros de fournitures et équipements industriels divers";"Com. gros fourniture & équipt ind. div."
1183;"46.69C";"Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services";"Comm. gros de fournitures & équipts divers pour commerces & sces";"Cg fournit. & équipt div. pr com. & sces"
1184;;;;
1185;"46.7";"Autres commerces de gros spécialisés";"Autres commerces de gros spécialisés";"Autres commerces de gros spécialisés"
1186;"46.71";"Commerce de gros de combustibles et de produits annexes";"Commerce de gros de combustibles et de produits annexes";"Com. gros combustible & produits annexes"
1187;"46.71Z";"Commerce de gros (commerce interentreprises) de combustibles et de produits annexes";"Commerce de gros de combustibles et de produits annexes";"Com. gros combustible & produits annexes"
1188;"46.72";"Commerce de gros de minerais et métaux";"Commerce de gros de minerais et métaux";"Commerce de gros de minerais et métaux"
1189;"46.72Z";"Commerce de gros (commerce interentreprises) de minerais et métaux";"Commerce de gros de minerais et métaux";"Commerce de gros de minerais et métaux"
1190;"46.73";"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires ";"Comm. gros bois, matériaux de construction & appareils sanitaires";"Cg bois, mat. construc. & app. sanitaire"
1191;"46.73A";"Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ";"Commerce de gros de bois et de matériaux de construction";"Com. gros bois & matériaux construction"
1192;"46.73B";"Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration";"Commerce de gros d'appareils sanitaires et produits de décoration";"Cg appareil sanitaire & prod. décoration"
1193;"46.74";"Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage";"Comm. gros quincaillerie & fournitures pour plomberie & chauffage";"Cg quincail. & fournit. plombr. & chauf."
1194;"46.74A";"Commerce de gros (commerce interentreprises) de quincaillerie";"Commerce de gros (commerce interentreprises) de quincaillerie";"Commerce de gros de quincaillerie"
1195;"46.74B";"Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage";"Commerce de gros de fournitures pour la plomberie et le chauffage";"Cg fourniture pour plomberie & chauffage"
1196;"46.75";"Commerce de gros de produits chimiques";"Commerce de gros de produits chimiques";"Commerce de gros de produits chimiques"
1197;"46.75Z";"Commerce de gros (commerce interentreprises) de produits chimiques";"Commerce de gros de produits chimiques";"Commerce de gros de produits chimiques"
1198;"46.76";"Commerce de gros d'autres produits intermédiaires";"Commerce de gros d'autres produits intermédiaires";"Commerce gros d'aut. prod. intermédiaire"
1199;"46.76Z";"Commerce de gros (commerce interentreprises) d'autres produits intermédiaires";"Commerce de gros d'autres produits intermédiaires";"Commerce gros d'aut. prod. intermédiaire"
1200;"46.77";"Commerce de gros de déchets et débris";"Commerce de gros de déchets et débris";"Commerce de gros de déchets et débris"
1201;"46.77Z";"Commerce de gros (commerce interentreprises) de déchets et débris";"Commerce de gros (commerce interentreprises) de déchets et débris";"Commerce de gros de déchets et débris"
1202;;;;
1203;"46.9";"Commerce de gros non spécialisé";"Commerce de gros non spécialisé";"Commerce de gros non spécialisé"
1204;"46.90";"Commerce de gros non spécialisé";"Commerce de gros non spécialisé";"Commerce de gros non spécialisé"
1205;"46.90Z";"Commerce de gros (commerce interentreprises) non spécialisé";"Commerce de gros (commerce interentreprises) non spécialisé";"Commerce de gros non spécialisé"
1206;;;;
