"CODES NC
2020";LIBELLES AUTOSUFFISANTS NC 2020 (fichier DSECE);"CREATIONS (1)
MODIFICATIONS (2)"
6208 22 00;Chemises de nuit et pyjamas, de fibres synthétiques ou artificielles, pour femmes ou fillettes (autres qu'en bonneterie et sauf gilets de corps, chemises de jour et déshabillés);
6208 29 00;Chemises de nuit et pyjamas, de matières textiles, pour femmes ou fillettes (autres que de coton, fibres synthétiques ou artificielles, autres qu'en bonneterie et sauf gilets de corps, chemises de jour et déshabillés);
6208 91 00;Gilets de corps, chemises de jour, slips, déshabillés, peignoirs de bain, robes de chambre et articles simil., de coton, pour femmes ou fillettes (autres qu'en bonneterie et sauf combinaisons ou fonds de robes, jupons, chemises de nuit, pyjamas, soutiens-gorge, gaines, corsets et articles simil.);
6208 92 00;Gilets de corps, chemises de jour, slips, déshabillés, peignoirs de bain, robes de chambres et articles simil., de fibres synthétiques ou artificielles, pour femmes ou fillettes (autres qu'en bonneterie et sauf combinaisons, fonds de robes, jupons, chemises de nuit, pyjamas, soutiens-gorge, gaines, corsets et articles simil.);
6208 99 00;Gilets de corps, chemises de jour, slips, déshabillés, peignoirs de bain, robes de chambre et articles simil., de matières textiles, pour femmes ou fillettes (autres que de coton, fibres synthétiques ou artificielles, autres qu'en bonneterie et sauf combinaisons, fonds de robes, jupons, chemises de nuit, pyjamas, soutiens-gorge, gaines, corsets et articles simil.);
6209;Vêtements et accessoires du vêtement, de matières textiles de tous genres pour bébés (autres qu'en bonneterie et sauf bonnets);
6209 20 00;Vêtements et accessoires du vêtement, de coton, pour bébés (à l'excl. de ceux en bonneterie et des bonnets et des couches et langes pour bébés [voir le n° 9619]);
6209 30 00;Vêtements et accessoires du vêtement, de fibres synthétiques, pour bébés (à l'excl. de ceux en bonneterie et des bonnets et des couches et langes pour bébés [voir le n° 9619]);
6209 90;Vêtements et accessoires du vêtement, de matières textiles, pour bébés (à l'excl. de ceux en coton ou fibres synthétiques, de ceux en bonneterie et des bonnets et des couches et langes pour bébés [voir le n° 9619]);
6209 90 10;Vêtements et accessoires du vêtement, de laine ou poils fins, pour bébés (autres qu'en bonneterie et sauf bonnets);
6209 90 90;Vêtements et accessoires du vêtement, de matières textiles, pour bébés (à l'excl. de ceux en laine, poils fins, coton, fibres synthétiques, de ceux en bonneterie et des bonnets et des couches et langes pour bébés [voir le n° 9619]);
6210;Vêtements en feutres ou nontissés, même imprégnés, enduits, recouverts ou stratifiés, ainsi que vêtements en tissus autres qu'en bonneterie caoutchoutés ou imprégnés, enduits ou recouverts de matière plastique ou autres matières (sauf vêtements pour bébés et sauf accessoires du vêtement);
6210 10;Vêtements en feutres ou nontissés, même imprégnés, enduits, recouverts ou stratifiés (sauf vêtements pour bébés et sauf accessoires du vêtement);
6210 10 10;Vêtements en feutres, même imprégnés, enduits, recouverts ou stratifiés (sauf vêtements pour bébés et sauf accessoires du vêtement);
6210 10 92;Blouses à usage unique, en nontissés, du type utilisé par les patients ou les chirurgiens au cours d'interventions chirurgicales;
6210 10 98;Vêtements en nontissés, même imprégnés, enduits, recouverts ou stratifiés (à l’excl. des vêtements pour bébés et accessoires du vêtement, ainsi que des blouses à usage unique utilisées au cours d'interventions chirurgicales);
6210 20 00;Vêtements des types des n° 620111 à 620119 [manteaux, cabans, capes et articles simil.], caoutchoutés ou imprégnés, enduits ou recouverts de matière plastique ou d'autres substances;
6210 30 00;Vêtements des types des n° 620211 à 620219 [manteaux, cabans, capes et articles simil.], caoutchoutés ou imprégnés, enduits ou recouverts de matière plastique ou d'autres substances;
6210 40 00;Vêtements de tissus, autres qu'en bonneterie, caoutchoutés ou imprégnés, enduits ou recouverts de matière plastique ou d'autres substances, pour hommes ou garçonnets (autres que vêtements des types des n° 620111 à 620119 [manteaux, cabans, capes et articles simil.] et sauf vêtements pour bébés et accessoires du vêtement);
6210 50 00;Vêtements de tissus, autres qu'en bonneterie, caoutchoutés ou imprégnés, enduits ou recouverts de matière plastique ou d'autres matières, pour femmes ou fillettes (autres que les vêtements des types des n° 620211 à 620219), ainsi que les vêtements et accessoires du vêtement pour bébés);
6211;Survêtements de sport (trainings), combinaisons et ensembles de ski, maillots, culottes et slips de bain et autres vêtements n.d.a. (autres qu'en bonneterie);
6211 11 00;Maillots, culottes et slips de bain, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 12 00;Maillots, culottes et slips de bain, pour femmes ou fillettes (autres qu'en bonneterie);
6211 20 00;Combinaisons et ensembles de ski (autres qu'en bonneterie);
6211 32;Survêtements de sport (trainings) et autres vêtements n.d.a., de coton, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 32 10;Vêtements de travail, de coton, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 32 31;Survêtements de sport (trainings), de coton, avec doublure, dont l'extérieur est réalisé dans une seule et même étoffe, pour hommes ou garçonnets (autre qu'en bonneterie);
6211 32 41;Parties supérieures de survêtements de sport (trainings), de coton, avec doublure, pour hommes ou garçonnets (autres qu'en bonneterie et sauf parties supérieures de survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 32 42;Parties inférieures de survêtements de sport (trainings), de coton, avec doublure, pour hommes ou garçonnets (autres qu'en bonneterie et sauf parties inférieures de survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même matière);
6211 32 90;Vêtements de coton n.d.a., pour hommes ou garçonnets (autres qu'en bonneterie);
6211 33;Survêtements de sport (trainings) et autres vêtements n.d.a., de fibres synthétiques ou artificielles, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 33 10;Vêtements de travail, de fibres synthétiques ou artificielles, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 33 31;Survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, dont l'extérieur est réalisé dans une seule et même étoffe, pour hommes ou garçonnets (autres qu'en bonneterie);
6211 33 41;Parties supérieures de survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, pour hommes ou garçonnets (autres qu'en bonneterie et sauf parties supérieures de survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 33 42;Parties inférieures de survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, pour hommes ou garçonnets (autres qu'en bonneterie et sauf parties inférieures de survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 33 90;Vêtements de fibres synthétiques ou artificielles n.d.a., pour hommes ou garçonnets (autres qu'en bonneterie);
6211 39 00;Survêtements de sport (trainings) et autres vêtements n.d.a., de matières textiles, pour hommes ou garçonnets (autres que de coton, fibres synthétiques ou artificielles, autres qu'en bonneterie);
6211 42;Survêtements de sport (trainings) et autres vêtements n.d.a., de coton, pour femmes ou fillettes (autres qu'en bonneterie);
6211 42 10;Tabliers, blouses et autres vêtements de travail, de coton, pour femmes ou fillettes (autres qu'en bonneterie);
6211 42 31;Survêtements de sport (trainings), de coton, avec doublure, dont l'extérieur est réalisé dans une seule et même étoffe, pour femmes ou fillettes (autres qu'en bonneterie);
6211 42 41;Parties supérieures des survêtements de sport (trainings), de coton, avec doublure, pour femmes ou fillettes (autres qu'en bonneterie et sauf parties supérieures des survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 42 42;Parties inférieures des survêtements de sport (trainings), de coton, avec doublure, pour femmes ou fillettes (autres qu'en bonneterie et sauf parties inférieures des survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 42 90;Vêtements de coton n.d.a., pour femmes ou fillettes (autres qu'en bonneterie);
6211 43;Survêtements de sport (trainings) et autres vêtements n.d.a., de fibres synthétiques ou artificielles, pour femmes ou fillettes (autres qu'en bonneterie);
6211 43 10;Tabliers, blouses et autres vêtements de travail, de fibres synthétiques ou artificielles, pour femmes ou fillettes (autres qu'en bonneterie);
6211 43 31;Survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, dont l'extérieur est réalisé dans une seule et même étoffe, pour femmes ou fillettes (autres qu'en bonneterie);
6211 43 41;Parties supérieures des survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, pour femmes ou fillettes (autres qu'en bonneterie et sauf parties supérieures des survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 43 42;Parties inférieures des survêtements de sport (trainings), de fibres synthétiques ou artificielles, avec doublure, pour femmes ou fillettes (autres qu'en bonneterie et sauf parties inférieures des survêtements de sport [trainings] dont l'extérieur est réalisé dans une seule et même étoffe);
6211 43 90;Vêtements de fibres synthétiques ou artificielles n.d.a., pour femmes ou fillettes (autres qu'en bonneterie);
6211 49 00;Survêtements de sport [trainings] et autres vêtements, n.d.a., de matières textiles, pour femmes ou fillettes (à l'excl. de ceux en coton ou fibres synthétiques ou artificielles, ou en bonneterie et les marchandises du no 9619);
6212;Soutiens-gorge, gaines, corsets, bretelles, jarretelles, jarretières et articles simil. et leurs parties en tous types de matières textiles, même élastiques et même en bonneterie (sauf gaines et gaine-culottes entièrement en caoutchouc);
6212 10;Soutiens-gorge et bustiers en tous types de matières textiles, même élastiques et même en bonneterie;
6212 10 10;Soutiens-gorge et bustiers en tous types de matières textiles, même élastiques et même en bonneterie, présentés en assortiments conditionnés pour la vente au détail contenant un soutien-gorge ou un bustier et un slip;
6212 10 90;Soutiens-gorge et bustiers en tous types de matières textiles, même élastiques et même en bonneterie (sauf présentés en assortiments conditionnés pour la vente au détail contenant un soutien-gorge ou un bustier et un slip);
6212 20 00;Gaines et gaines-culottes en tous types de matières textiles, même élastiques et même en bonneterie (sauf gaines et gaine-culottes entièrement en caoutchouc);
6212 30 00;Combinés en tous types de matières textiles, même élastiques et même en bonneterie;
6212 90 00;Corsets, bretelles, jarretelles, jarretières et simil. et leurs parties, y.c. parties de soutiens-gorge, gaines, gaines-culottes et combinés, en tous types de matières textiles, même élastiques et même en bonneterie (sauf soutiens-gorge, gaines, gaines-culottes et combinés complets);
6213;Mouchoirs et pochettes dont un côté <= 60 cm (autres qu'en bonneterie);
6213 20 00;Mouchoirs et pochettes dont un côté <= 60 cm, de coton (autres qu'en bonneterie);
6213 90 00;Mouchoirs et pochettes dont un côté <= 60 cm, de matières textiles (autres que de coton et autres qu'en bonneterie);
6214;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil. (autres qu'en bonneterie);
6214 10 00;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil., de soie ou de déchets de soie (autres qu'en bonneterie);
6214 20 00;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil., de laine ou poils fins (autres qu'en bonneterie);
6214 30 00;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil., de fibres synthétiques (autres qu'en bonneterie);
6214 40 00;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil., de fibres artificielles (autres qu'en bonneterie);
6214 90 00;Châles, écharpes, foulards, cache-nez, cache-col, mantilles, voiles et voilettes et articles simil., de matières textiles (autres que de laine, poils fins, fibres synthétiques ou artificielles, soie et déchets de soie et autres qu'en bonneterie);
6215;Cravates, noeuds papillons et foulards cravates de matières textiles (autres qu'en bonneterie);
6215 10 00;Cravates, noeuds papillons et foulards cravates, de soie ou de déchets de soie (autres qu'en bonneterie);
6215 20 00;Cravates, noeuds papillons et foulards cravates, de fibres synthétiques ou artificielles (autres qu'en bonneterie);
6215 90 00;Cravates, noeuds papillons et foulards cravates, de matières textiles (autres que fibres synthétiques ou artificielles, soie et déchets de soie et autres qu'en bonneterie);
6216 00 00;Gants, mitaines et moufles, en tous types de matières textiles (autres qu'en bonneterie et sauf gants pour bébés);
6217;Accessoires confectionnés du vêtement et parties de vêtements ou d'accessoires du vêtement, en tous types de matières textiles, n.d.a. (autres qu'en bonneterie);
6217 10 00;Accessoires confectionnés du vêtement en tous types de matières textiles, n.d.a. (autres qu'en bonneterie);
6217 90 00;Parties de vêtements ou d'accessoires du vêtement, en tous types de matières textiles, n.d.a. (autres qu'en bonneterie);
CHAPITRE 63;"AUTRES ARTICLES TEXTILES CONFECTIONNÉS; ASSORTIMENTS; FRIPERIE ET CHIFFONS";
6301;Couvertures en tous types de matières textiles (sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 10 00;Couvertures chauffantes électriques en tous types de matières textiles;
6301 20;Couvertures, de laine ou de poils fins (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 20 10;Couvertures en bonneterie, de laine ou poils fins (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 20 90;Couvertures de laine ou poils fins (autres qu'en bonneterie, autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 30;Couvertures de coton (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 30 10;Couvertures en bonneterie de coton (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 30 90;Couvertures en coton (autres qu'en bonneterie, autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 40;Couvertures de fibres synthétiques (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 40 10;Couvertures en bonneterie, de fibres synthétiques (autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 40 90;Couvertures, de fibres synthétiques (autres qu'en bonneterie, et sauf chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 90;Couvertures de matières textiles (autres que de laine ou poils fins, coton ou fibres synthétiques et que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 90 10;Couvertures en bonneterie (autres que de laine ou poils fins, coton ou fibres synthétiques, autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6301 90 90;Couvertures de matières textiles (autres que de laine ou poils fins, coton ou fibres synthétiques, autres qu'en bonneterie, autres que chauffantes électriques et sauf linge de table, couvre-lits, linge de lit et les articles simil. du n° 9404 [sommiers et autres articles de literie]);
6302;Linge de lit, de table, de toilette ou de cuisine en tous types de matières textiles (sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 10 00;Linge de lit en bonneterie;
6302 21 00;Linge de lit de coton, imprimé (autre qu'en bonneterie);
6302 22;Linge de lit, de fibres synthétiques ou artificielles, imprimé (autres qu'en bonneterie);
6302 22 10;Linge de lit, de fibres synthétiques ou artificielles, en nontissés, imprimé;
6302 22 90;Linge de lit, de fibres synthétiques ou artificielles, imprimé (autre qu'en nontissés, autre qu'en bonneterie);
6302 29;Linge de lit, de matières textiles, imprimé (autre que de coton, fibres synthétiques ou artificielles, autres qu'en bonneterie);
6302 29 10;Linge de lit, de lin ou ramie, imprimé (autre qu'en bonneterie);
6302 29 90;Linge de lit, de matières textiles, imprimés (autres que de coton, fibres synthétiques ou artificielles, lin ou ramie, autre qu'en bonneterie);
6302 31 00;Linge de lit de coton (autre qu'imprimé, autre qu'en bonneterie);
6302 32;Linge de lit de fibres synthétiques ou artificielles (autre qu'imprimé, autre qu'en bonneterie);
6302 32 10;Linge de lit de fibres synthétiques ou artificielles, en nontissés (autre qu'imprimé);
6302 32 90;Linge de lit de fibres synthétiques ou artificielles (autre qu'en nontissés, autre qu'imprimé et autre qu'en bonneterie);
6302 39;Linge de lit de matières textiles (autres que de coton, fibres synthétiques ou artificielles, autre qu'imprimé, autre qu'en bonneterie);
6302 39 20;Linge de lit, de lin ou ramie (autre qu'imprimé, autre qu'en bonneterie);
6302 39 90;Linge de lit de matières textiles (autre que de coton, fibres synthétiques ou artificielles, lin ou ramie, autre qu'imprimé, autre qu'en bonneterie);
6302 40 00;Linge de table en bonneterie;
6302 51 00;Linge de table de coton (autre qu'en bonneterie);
6302 53;Linge de table de fibres synthétiques ou artificielles (autres qu'en bonneterie);
6302 53 10;Linge de table de fibres synthétiques ou artificielles, en nontissés;
6302 53 90;Linge de table de fibres synthétiques ou artificielles (autre qu'en nontissés, autre qu'en bonneterie);
6302 59;Linge de table de matières textiles (autre que de coton, fibres synthétiques ou artificielles, autre qu'en bonneterie);
6302 59 10;Linge de table de lin (autre qu'en bonneterie);
6302 59 90;Linge de table de matières textiles (autre que de coton, lin, fibres synthétiques ou artificielles, autre qu'en bonneterie);
6302 60 00;Linge de toilette ou de cuisine, bouclé du genre éponge, de coton (sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 91 00;Linge de toilette ou de cuisine en coton (autre que bouclé du genre éponge et sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 93;Linge de toilette ou de cuisine, de fibres synthétiques ou artificielles (sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 93 10;Linge de toilette ou de cuisine, de fibres synthétiques ou artificielles, en nontissés (sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 93 90;Linge de toilette ou de cuisine, de fibres synthétiques ou artificielles (autre qu'en nontissés et sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 99;Linge de toilette ou de cuisine, de matières textiles (autre que de coton, fibres synthétiques ou artificielles et sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 99 10;Linge de toilette ou de cuisine, de lin (sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6302 99 90;Linge de toilette ou de cuisine, de matières textiles (autre que de coton, fibres synthétiques ou artificielles, lin et sauf serpillières, chiffons à parquet, lavettes et chamoisettes);
6303;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, en tous types de matières textiles (autres que stores d'extérieur);
6303 12 00;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, en bonneterie, de fibres synthétiques (autres que stores d'extérieur);
6303 19 00;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, en bonneterie (autres que de fibres synthétiques et autres que stores d'extérieur);
6303 91 00;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de coton (autres qu'en bonneterie et autres que stores d'extérieur);
6303 92;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de fibres synthétiques (autres qu'en bonneterie et autres que stores d'extérieur);
6303 92 10;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de fibres synthétiques, en nontissés (autres que stores d'extérieur);
6303 92 90;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de fibres synthétiques (autres qu'en nontissés, autres qu'en bonneterie et autres que stores d'extérieur);
6303 99;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de matières textiles (autres que de coton et fibres synthétiques, autres qu'en bonneterie et autres que stores d'extérieur);
6303 99 10;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, en nontissés (autres que coton et fibres synthétiques et autres que stores d'extérieur);
6303 99 90;Vitrages, rideaux et stores d'intérieur ainsi que cantonnières et tours de lit, de matières textiles (autres que de coton et fibres synthétiques, autres qu'en nontissés, autres qu'en bonneterie et autres que stores d'extérieur);
6304;Articles d'ameublement en tous types de matières textiles (sauf couvertures, linge de lit, linge de table, linge de toilette et de cuisine, vitrages, rideaux, stores d'intérieur, cantonnières et tours de lit, abat-jour et les articles du n° 9404);
6304 11 00;Couvre-lits en bonneterie (sauf linge de lit, couvre-pieds et édredons);
6304 19;Couvre-lits en tous types de matières textiles (autres qu'en bonneterie et sauf linge de lit, couvre-pieds et édredons);
6304 19 10;Couvre-lits de coton (autres qu'en bonneterie et sauf linge de lit, couvre-pieds et édredons);
6304 19 30;Couvre-lits de lin ou de ramie (autres qu'en bonneterie et sauf linge de lit, couvre-pieds et édredons);
6304 19 90;Couvre-lits de matières textiles (autres que de coton, lin ou ramie, autres qu'en bonneterie et sauf linge de lit, couvre-pieds et édredons);
6304 20 00;Moustiquaires pour lits, en bonneterie-chaîne, antipaludiques;
6304 91 00;Articles d’ameublement, en bonneterie (à l’exclusion des couvertures, du linge de lit, linge de table, linge de toilette, linge de cuisine, des vitrages, rideaux, stores d’intérieur, cantonnières et tours de lit, couvre-lits, moustiquaires pour lits antipaludiques, abat-jour et articles de la position 9404);
6304 92 00;Articles d'ameublement, de coton (autres qu'en bonneterie et sauf couvertures, linge de lit, linge de table, linge de toilette et de cuisine, vitrages, rideaux, stores d'intérieur, cantonnières et tours de lit, couvre-lits, abat-jours et les articles du n° 9404 [sommiers et articles de literie]);
6304 93 00;Articles d'ameublement, de fibres synthétiques (autres qu'en bonneterie et sauf couvertures, linge de lit, linge de table, linge de toilette et de cuisine, vitrages, rideaux, stores d'intérieur, cantonnières et tours de lit, couvre-lits, abat-jours et les articles du n° 9404 [sommiers et articles de literie]);
6304 99 00;Articles d'ameublement, de matières textiles (autres que de coton ou fibres synthétiques, autres qu'en bonneterie et sauf couvertures, linge de lit, linge de table, linge de toilette et de cuisine, vitrages, rideaux, stores d'intérieur, cantonnières et tours de lit, couvre-lits, abat-jours et les articles du n° 9404 [sommiers et articles de literie]);
6305;Sacs et sachets d'emballage en tous types de matières textiles;
6305 10;Sacs et sachets d'emballage de jute ou d'autres fibres textiles libériennes du n° 5303;
6305 10 10;Sacs et sachets d'emballage de jute ou d'autres fibres textiles libériennes du n° 5303, usagés;
6305 10 90;Sacs et sachets d'emballage de jute ou d'autres fibres textiles libériennes du n° 5303, neufs;
6305 20 00;Sacs et sachets d'emballage de coton;
6305 32;Contenants souples d'emballage pour matières en vrac, de matières textiles synthétiques ou artificielles;
6305 32 11;Contenants souples d'emballage pour matières en vrac, obtenus à partir de lames ou formes simil., en bonneterie, de polyéthylène ou de polypropylène;
6305 32 19;Contenants souples d'emballage pour matières en vrac, obtenus à partir de lames ou formes simil., de polyéthylène ou de polypropylène (autres qu'en bonneterie);
6305 32 90;Contenants souples d'emballage pour matières en vrac, de matières textiles synthétiques ou artificielles (sauf obtenus à partir de lames ou de formes simil., de polyéthylène ou de polypropylène);
6305 33;Sacs et sachets d'emballage obtenus à partir de lames ou formes simil., de polyéthylène ou polypropylène (à l'excl. des contenants souples pour matières en vrac);
6305 33 10;Sacs et sachets d'emballage obtenus à partir de lames ou de formes simil., en bonneterie, de polyéthylène ou de polypropylène (à l'excl. des contenants souples pour matières en vrac);
6305 33 90;Sacs et sachets d'emballage obtenus à partir de lames ou de formes simil., de polyéthylène ou de polypropylène (autres qu'en bonneterie et à l'excl. des contenants souples pour matières en vrac);
6305 39 00;Sacs et sachets d'emballage de matières synthétiques ou artificielles (autres qu'en lames ou formes simil. de polyéthylène ou de polypropylène ainsi que contenants souples pour matières en vrac);
6305 90 00;Sacs et sachets d'emballage de matières textiles (autres qu'en matières textiles synthétiques ou artificielles, coton, jute ou autres fibres textiles libériennes du n° 5303);
6306;Bâches et stores d'extérieur, tentes, voiles pour embarcations, planches à voile ou chars à voile et articles de campement, en tous textiles (à l'excl. des parasols-tentes et tentes-jouets, des toiles de protection en tissus légers confectionnées à plat, des sacs de campement, sacs militaires et contenants simil. ainsi que des sacs de couchage, matelas, oreillers et coussins rembourrés);
6306 12 00;Bâches et stores d'extérieur de fibres synthétiques (sauf auvents plats en tissus légers, confectionnés selon le type de bâche);
6306 19 00;Bâches et stores d'extérieur de matières textiles (autres que de fibres synthétiques et sauf auvents plats en tissus légers, confectionnés selon le type de bâche);
6306 22 00;Tentes de fibres synthétiques (à l'excl. des parasols-tentes et tentes-jouets);
6306 29 00;Tentes de matières textiles (sauf de fibres synthétiques et à l'excl. des parasols-tentes et tentes-jouets);
6306 30 00;Voiles pour bateaux, planches à voiles et chars à voiles, de matières textiles;
6306 40 00;Matelas pneumatiques de matières textiles;
6306 90 00;Articles de campement de matières textiles (à l'excl. des bâches, stores d'extérieur, tentes, voiles, matelas, sacs de couchage, sacs à dos, sacs à bandoulière et similaires ainsi que des coussins rembourrés);
6307;Autres articles de matières textiles, confectionnés, y.c. les patrons de vêtements, n.d.a.;
6307 10;Serpillières ou wassingues, lavettes, chamoisettes et articles d'entretien simil. en tous types de matières textiles;
6307 10 10;Serpillières ou wassingues, lavettes, chamoisettes et articles d'entretien simil., en bonneterie;
6307 10 30;Serpillières ou wassingues, lavettes, chamoisettes et articles d'entretien simil., en nontissés;
6307 10 90;Serpillières ou wassingues, lavettes, chamoisettes et articles d'entretien simil., en tous types de matières textiles (autres qu'en bonneterie ou en nontissés);
6307 20 00;Ceintures et gilets de sauvetage en tous types de matières textiles;
6307 90;Articles de matières textiles, confectionnés, y.c. les patrons de vêtements n.d.a.;
6307 90 10;Articles de matières textiles, confectionnés, y.c. les patrons de vêtements, en bonneterie, n.d.a.;
6307 90 91;Articles de matières textiles, confectionnés, y.c. les patrons de vêtements, en feutre, n.d.a.;
6307 90 92;Draps à usage unique, en nontissés, utilisés au cours des procédures chirurgicales;
6307 90 98;Articles de matières textiles, confectionnés, y.c. les patrons de vêtements, n.d.a. (à l'excl. de ceux en feutre, en bonneterie et les draps à usage unique, en nontissés, utilisés au cours des procédures chirurgicales);
6308 00 00;Assortiments composés de pièces de tissus et de fils, même avec accessoires, pour la confection de tapis, de tapisseries, de nappes de table ou de serviettes brodées, ou d'articles textiles simil., en emballages pour la vente au détail (sauf assortiments pour la confection de vêtements);
6309 00 00;Articles de friperie composés de vêtements, accessoires du vêtement, couvertures, linge de maison et articles d'aménagement intérieur, en tous types de matières textiles, y.c. les chaussures et coiffures de tous genres, manifestement usagés et présentés en vrac ou en paquets simpl. ficelés ou en balles, sacs ou conditionnements simil. (sauf tapis et autres revêtements de sol et sauf tapisseries);
6310;Chiffons en tous types de matières textiles ainsi que ficelles, cordes et cordages et articles composés de ceux-ci, de matières textiles, sous forme de déchets ou d'articles hors d'usage;
6310 10 00;Chiffons en tous types de matières textiles ainsi que ficelles, cordes et cordages et articles composés de ceux-ci, de matières textiles, sous forme de déchets ou d'articles hors d'usage, triés;
6310 90 00;Chiffons en tous types de matières textiles ainsi que ficelles, cordes et cordages et articles composés de ceux-ci, de matières textiles, sous forme de déchets ou d'articles hors d'usage, non triés;
SECTION XII;"CHAUSSURES, COIFFURES, PARAPLUIES, PARASOLS, CANNES, FOUETS, CRAVACHES ET LEURS PARTIES; PLUMES APPRÊTÉES ET ARTICLES EN PLUMES; FLEURS ARTIFICIELLES; OUVRAGES EN CHEVEUX";
CHAPITRE 64;"CHAUSSURES, GUÊTRES ET ARTICLES ANALOGUES; PARTIES DE CES OBJETS";
6401;Chaussures étanches, à semelles extérieure et dessus en caoutchouc ou en matière plastique, dont le dessus n'a été ni réuni à la semelle extérieure par couture ou par rivets, clous, vis, tétons ou dispositifs simil., ni formé de différentes parties assemblées par ces mêmes procédés (sauf chaussures d'orthopédie, chaussures ayant le caractère de jouets, chaussures et protections utilisées pour le sport);
6401 10 00;Chaussures étanches, à semelles extérieures et dessus en caoutchouc ou en matière plastique, dont le dessus n'a été ni réuni à la semelle extérieure par couture ou par rivets, clous, vis, tétons ou dispositifs simil., ni formé de différentes parties assemblées par ces mêmes procédés et comportant à l'avant une coquille de protection en métal (sauf chaussures et protections utilisées pour le sport);
